#{"t_start": 1758103160.906848, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,44.077955
-130.0,130,44.116326
-200.0,200,44.17568
-113.0,113,44.208924
-198.0,198,44.271573
-163.0,163,44.317463
-176.0,176,44.365825
-200.0,200,44.42234
-200.0,200,44.47753
-200.0,200,44.534084
-200.0,200,44.586693
-200.0,200,44.643128
-200.0,200,44.698004
-200.0,200,44.753984
-200.0,200,44.807123
-200.0,200,44.862929
-200.0,200,44.920577
-174.0,174,44.968929
-200.0,200,45.021849
-164.0,164,45.069076
-190.0,190,45.122604
-200.0,200,45.175771
-200.0,200,45.231712
-196.0,196,45.283901
-200.0,200,45.337963
-200.0,200,45.393899
-200.0,200,45.446718
-200.0,200,45.502943
-200.0,200,45.557009
-177.0,177,45.60488
-200.0,200,45.661001
-199.0,199,45.716063
-186.0,186,45.769878
-182.0,182,45.818737
-183.0,183,45.8706
-200.0,200,45.923174
-200.0,200,45.981007
-165.0,165,46.024934
-192.0,192,46.077285
-200.0,200,46.133611
-166.0,166,46.179285
-102.0,102,46.205806
-169.0,169,46.253087
-178.0,178,46.304244
-160.0,160,46.349273
-178.0,178,46.39702
-179.0,179,46.444774
-151.0,151,46.487998
-139.0,139,46.52648
-160.0,160,46.569972
-107.0,107,46.600171
-169.0,169,46.648151
-90.0,90,46.672462
-162.0,162,46.716299
-178.0,178,46.767505
-114.0,114,46.798577
-104.0,104,46.827118
-93.0,93,46.852969
-133.0,133,46.88843
-195.0,195,46.940818
-173.0,173,46.990522
-179.0,179,47.038377
-123.0,123,47.072619
-100.0,100,47.0989
-95.0,95,47.127079
-183.0,183,47.178703
-122.0,122,47.209567
-116.0,116,47.243506
-188.0,188,47.294311
-109.0,109,47.324571
-136.0,136,47.363191
-160.0,160,47.406601
-155.0,155,47.4481
-158.0,158,47.491298
-98.0,98,47.517335
-179.0,179,47.568628
-151.0,151,47.614475
-149.0,149,47.669888
-107.0,107,47.726495
-161.0,161,47.828465
-198.0,198,47.893143
-144.0,144,47.935859
-153.0,153,47.982098
-157.0,157,48.029263
-135.0,135,48.071026
-200.0,200,48.128919
-151.0,151,48.169328
-160.0,160,48.213916
-151.0,151,48.26131
-157.0,157,48.302235
-146.0,146,48.345733
-127.0,127,48.381022
-141.0,141,48.420734
-200.0,200,48.477954
-175.0,175,48.526212
-137.0,137,48.562213
-182.0,182,48.617863
-109.0,109,48.649079
-116.0,116,48.68015
-173.0,173,48.728845
-161.0,161,48.779452
-155.0,155,48.820626
-139.0,139,48.860859
-166.0,166,48.907264
-177.0,177,48.959972
-200.0,200,49.017796
-195.0,195,49.072974
-177.0,177,49.122998
-200.0,200,49.184647
-200.0,200,49.24319
-191.0,191,49.29668
-200.0,200,49.355064
-200.0,200,49.412703
-182.0,182,49.465831
-200.0,200,49.518989
-200.0,200,49.576531
-200.0,200,49.638174
-200.0,200,49.708657
-200.0,200,49.772898
-200.0,200,49.83927
-200.0,200,49.903082
-200.0,200,49.967982
-200.0,200,50.028403
-168.0,168,50.076737
-200.0,200,50.131275
-200.0,200,50.188317
-200.0,200,50.241218
-200.0,200,50.297387
-189.0,189,50.37785
-182.0,182,50.447062
-200.0,200,50.512749
-200.0,200,50.58216
-200.0,200,50.64388
-200.0,200,50.70608
-200.0,200,50.765915
-160.0,160,50.817697
-200.0,200,50.882183
-200.0,200,50.939749
-200.0,200,50.997205
-198.0,198,51.049941
-176.0,176,51.099724
-200.0,200,51.155738
-175.0,175,51.203352
-171.0,171,51.247808
-166.0,166,51.297326
-126.0,126,51.328464
-176.0,176,51.376013
-163.0,163,51.422968
-176.0,176,51.473143
-120.0,120,51.503966
-193.0,193,51.556256
-175.0,175,51.603811
-190.0,190,51.659443
-131.0,131,51.694615
-168.0,168,51.742788
-182.0,182,51.791452
-128.0,128,51.828219
-139.0,139,51.867787
-168.0,168,51.914011
-140.0,140,51.954787
-157.0,157,52.00328
-162.0,162,52.046873
-193.0,193,52.099183
-200.0,200,52.155571
-159.0,159,52.198691
-164.0,164,52.245768
-195.0,195,52.298359
-196.0,196,52.351078
-196.0,196,52.404953
-198.0,198,52.460942
-176.0,176,52.508634
-200.0,200,52.560946
-177.0,177,52.612604
-198.0,198,52.669826
